,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
41,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,2134,1084,1050,38161.25679475164,39465.011070110704,36815.28571428572,634,261,373,67993.92744479496,73624.52107279694,64054.02144772118,1221,741,480,25091.295659295658,26678.909581646425,22640.416666666668,279,82,197,27568.10035842294,46280.48780487805,19779.187817258884
42,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,1911,1343,568,42316.32129774987,44946.45569620253,36097.535211267605,258,132,126,71527.13178294574,73757.57575757576,69190.47619047618,981,600,381,27572.731906218145,28603.75,25949.081364829395,672,611,61,52624.46428571428,54770.60556464812,31127.868852459018
43,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",2101,1297,804,59372.20847215612,45925.20431765613,81064.70149253731,628,222,406,94423.5668789809,69126.12612612612,108256.15763546799,1247,902,345,46174.02566158781,42126.37472283814,56756.57971014493,226,173,53,34796.46017699115,35959.53757225433,31000.0
44,Erie County (South) PUMA,120,35,85,31925.0,33428.57142857143,31305.882352941175,102,17,85,31254.901960784315,31000.0,31305.882352941175,18,18,0,35722.22222222222,35722.22222222222,0.0,0,0,0,#DIV/0!,0.0,0.0
45,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,2743,1515,1228,99109.91615020052,105125.88778877888,91687.9315960912,1982,968,1014,117232.08879919273,139944.44214876034,95550.0788954635,514,359,155,61820.038910505835,50516.71309192201,88000.0,247,188,59,31291.497975708502,30127.659574468085,35000.0
46,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",4904,2799,2105,32717.18189233279,35638.17792068596,28833.15914489311,825,281,544,43411.27272727273,54500.71174377224,37683.08823529412,2723,1584,1139,32692.72860815277,36636.42676767677,27208.25285338016,1356,934,422,26259.926253687314,28270.29978586724,21810.42654028436
47,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,1730,971,759,37327.919075144506,39640.473738414,34369.43346508564,576,393,183,45857.118055555555,43346.81933842239,51248.08743169399,806,278,528,31016.129032258064,33058.27338129497,29940.909090909092,348,300,48,37829.31034482759,40884.666666666664,18733.333333333332
48,Dutchess County (North & East) PUMA,1026,776,250,36453.09941520468,36879.12371134021,35130.72,81,42,39,62987.654320987655,67504.76190476191,58123.07692307692,605,430,175,38494.21487603306,41772.558139534885,30438.85714285714,340,304,36,26499.647058823528,25726.315789473683,33030.0
49,Oneida County (Central)--Greater Utica & Rome Cities PUMA,287,184,103,28204.59930313589,33383.913043478264,18952.233009708736,54,22,32,49741.48148148148,75683.63636363637,31906.25,142,85,57,26800.563380281692,35960.0,13141.754385964912,91,77,14,17615.384615384617,18454.545454545456,13000.0
50,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,7103,5016,2087,34666.79431226243,36503.77392344498,30251.70579779588,1110,690,420,54384.14414414414,53870.14492753623,55228.57142857143,3023,1924,1099,32085.94442606682,36160.08316008316,24953.421292083713,2970,2402,568,29924.589225589225,31790.395503746877,22034.330985915494
51,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",6544,3764,2780,35573.59718826406,37890.632306057385,32436.43165467626,1500,645,855,42992.066666666666,38671.93798449612,46251.11111111111,3859,2333,1526,35225.794247214304,40430.62151735962,27268.479685452163,1185,786,399,27315.76371308017,29710.30534351145,22598.696741854637
52,Warren & Washington Counties PUMA,20,10,10,64500.0,47000.0,82000.0,10,0,10,82000.0,0.0,82000.0,0,0,0,#DIV/0!,0.0,0.0,10,10,0,47000.0,47000.0,0.0
53,Oswego County PUMA,90,66,24,41472.77777777778,37417.42424242424,52625.0,13,4,9,56384.61538461538,55000.0,57000.0,77,62,15,38955.194805194806,36283.06451612903,50000.0,0,0,0,#DIV/0!,0.0,0.0
54,Erie County (Northeast) PUMA,119,105,14,187139.49579831932,206491.42857142858,42000.0,76,76,0,259336.84210526315,259336.84210526315,0.0,43,29,14,59534.88372093023,68000.0,42000.0,0,0,0,#DIV/0!,0.0,0.0
55,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,59,38,21,39813.5593220339,52815.78947368421,16285.714285714286,13,13,0,130000.0,130000.0,0.0,26,5,21,16115.384615384615,15400.0,16285.714285714286,20,20,0,12000.0,12000.0,0.0
56,Saratoga County (South & Central) PUMA,200,159,41,62348.2,63293.333333333336,58682.92682926829,90,73,17,61607.11111111111,60118.356164383564,68000.0,110,86,24,62954.545454545456,65988.37209302325,52083.333333333336,0,0,0,#DIV/0!,0.0,0.0
57,Columbia & Greene Counties PUMA,219,193,26,42489.04109589041,40093.78238341969,60269.230769230766,34,19,15,135735.29411764705,174210.52631578947,87000.0,125,122,3,24552.8,24713.93442622951,18000.0,60,52,8,27016.666666666668,27173.076923076922,26000.0
58,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",5073,2826,2247,43850.6031933767,45428.71549893843,41865.84779706275,1738,892,846,56216.11047180667,65994.84304932735,45905.67375886525,2748,1529,1219,38175.65866084425,36450.32701111838,40339.75389663659,587,405,182,33805.45144804088,34028.641975308645,33308.79120879121
59,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,3748,2262,1486,63068.95144076841,64623.44385499558,60702.69179004038,1646,871,775,83782.95868772782,86477.32491389208,80754.83870967742,1998,1317,681,47783.57357357357,52032.93849658314,39565.63876651983,104,74,30,28885.576923076922,31474.324324324323,22500.0
60,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,3649,2090,1559,44773.24198410523,47298.73684210526,41387.55612572162,803,410,393,59829.115815691155,66558.73170731707,52808.396946564884,2202,1228,974,42882.552225249776,46689.39739413681,38082.956878850106,644,452,192,32464.906832298137,31483.849557522124,34774.479166666664
61,Erie County (North Central) PUMA,342,85,257,94080.40935672514,111658.82352941176,88266.53696498055,292,65,227,102440.06849315068,130630.76923076923,94367.84140969162,50,20,30,45260.0,50000.0,42100.0,0,0,0,#DIV/0!,0.0,0.0
