,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
120,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,3747,2198,1549,64024.92714171337,72315.08189262966,52261.36346029697,2414,1272,1142,71827.00994200497,84597.13050314465,57603.197898423816,1237,926,311,52215.84478577203,55443.84449244061,42604.501607717044,96,0,96,20000.0,0.0,20000.0
121,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",9200,5469,3731,87928.98695652174,104571.6182117389,63533.77110694184,5222,3140,2082,115490.23362696284,137979.6178343949,81572.52641690683,3206,1981,1225,58552.42669993762,65947.5921251893,46593.38775510204,772,348,424,23494.300518134714,23000.0,23900.0
122,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,17927,10242,7685,84222.2300440676,88487.76899043156,78537.4350032531,10582,5373,5209,101122.11661311661,113767.5842173832,88078.51948550585,7199,4766,2433,60509.73468537297,61432.10239194293,58702.90998766955,146,103,43,28548.630136986303,21680.582524271846,45000.0
123,Broome (Outer West) & Tioga Counties PUMA,36067,20983,15084,58958.66747996784,65251.229090215886,50205.23203394325,12139,6772,5367,93110.86415684983,107478.65623154164,74981.7998882057,22032,12691,9341,42187.85993100944,45908.03955559058,37133.4974842094,1896,1520,376,35182.77953586498,38619.83552631579,21288.297872340427
124,Putnam County PUMA,29528,16743,12785,94535.05872392305,104545.1218419638,81426.06484161127,15450,8129,7321,118813.28388349514,130137.12584573748,106239.6585165961,13793,8429,5364,68132.09439570797,80452.51856685254,48771.755965697244,285,185,100,56210.52631578947,77729.72972972973,16400.0
125,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",783,225,558,72911.87739463602,40111.11111111111,86137.99283154123,538,50,488,89005.57620817843,65000.0,91465.16393442624,245,175,70,37571.42857142857,33000.0,49000.0,0,0,0,#DIV/0!,0.0,0.0
126,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",15920,9513,6407,76577.4501884422,79587.86229370335,72107.64367098486,8266,4456,3810,92017.41761432374,98296.57854578097,84673.60104986877,7654,5057,2597,59902.93088581134,63102.58651374333,53672.41162880247,0,0,0,#DIV/0!,0.0,0.0
127,Nassau County (Central)--Hempstead Town (Northeast) PUMA,29038,17589,11449,76883.20049590193,84794.43345272614,64729.241505808364,13660,8399,5261,87719.83572474378,90810.14644600547,82786.26420832542,14933,8810,6123,66796.31152481082,79010.53007945516,49222.039849746856,445,380,65,82723.82022471911,85926.57894736843,64000.0
128,Suffolk County (Central)--Brookhaven Town (Central) PUMA,30959,18429,12530,71074.83510449305,78931.950729828,59518.667198723066,11719,6122,5597,90711.33458486218,109820.68441685724,69809.52295872789,18165,11323,6842,59986.46242774567,65107.45297182725,51511.604793919905,1075,984,91,44377.3023255814,45836.382113821135,28600.0
129,NYC-Manhattan Community District 10--Central Harlem PUMA,9643,5303,4340,109293.12662034636,118618.57439185366,97898.46082949308,8431,4774,3657,116740.63812121931,123047.63301214915,108507.22450095706,1212,529,683,57486.22112211221,78648.20415879018,41095.75402635432,0,0,0,#DIV/0!,0.0,0.0
130,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",237,124,113,29008.86075949367,30778.225806451614,27067.256637168142,119,53,66,41159.663865546216,70000.0,18000.0,118,71,47,16755.084745762713,1500.0,39800.0,0,0,0,#DIV/0!,0.0,0.0
131,NYC-Manhattan Community District 11--East Harlem PUMA,4608,2966,1642,109419.16232638889,123534.96291301415,83921.31546894032,3898,2487,1411,119477.03950743971,138512.14314435062,85926.15166548546,710,479,231,54200.0,45772.44258872652,71675.32467532468,0,0,0,#DIV/0!,0.0,0.0
