,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
138,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,2.7777777777777777,3.0978934324659235,2.40033395950741,5.342019543973942,7.037943696450428,3.4122562674094707,0.0,0.0,#DIV/0!
139,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!
140,Monroe County (East) PUMA,0.6610935767295061,0.0,1.3032876481964182,2.0798668885191347,1.8725413060582219,2.3124448367166814,0.0,0.0,0.0
141,Suffolk County (East) PUMA,2.6131762973868233,2.993517972893341,2.3068160243022593,2.4358525483919373,4.409634190510685,0.0,0.0,0.0,0.0
142,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",3.559922680412371,7.3937771830043495,0.0,13.997078870496594,18.21480406386067,5.399408284023669,#DIV/0!,#DIV/0!,#DIV/0!
143,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",0.0,0.0,0.0,17.551963048498845,50.66666666666667,0.0,#DIV/0!,#DIV/0!,#DIV/0!
144,Suffolk County (Central)--Islip Town (Northwest) PUMA,0.0,0.0,0.0,3.5302104548540396,0.0,6.698872785829307,18.706697459584294,0.0,24.03560830860534
145,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,3.070481507327285,6.029122392758756,0.6037339633165993,11.7403672097233,6.175298804780876,17.75147928994083,#DIV/0!,#DIV/0!,#DIV/0!
146,Capital Region,1.1696935337777516,1.3456697734539764,1.0079535791105998,4.255059205285715,5.396525255550979,3.0082107179010014,8.622917863296955,7.563527653213751,11.353711790393014
147,Central NY,1.897434385716672,2.292988348467886,1.5410479125805547,5.220186729870232,5.2951242438119115,5.1310356692281225,5.812188245499891,5.905649388468259,5.659298780487805
148,Finger Lakes,2.3496426678247766,2.8614541999664675,1.9187106640785836,3.178301840468889,2.861309755632712,3.5484807431778593,6.158855049854168,6.289665624703988,5.828953655040611
149,Long Island,2.287605737403457,2.3247318255786924,2.251621521574686,3.587858965603997,3.4311752298452673,3.7857070244993394,6.697574302508485,7.168052406147645,5.79570152137165
150,Mid-Hudson,2.246504401864319,1.9624736741336395,2.497205106205964,4.150000851020373,4.202480466876692,4.078493661596614,12.347803914068974,11.193251000173943,15.516829792313203
151,Mohawk Valley,1.9604500511421752,3.010489674961193,1.09080992637033,4.4442977575769005,4.758591157263677,4.092,8.494208494208493,10.592360214061634,4.859335038363171
152,New York City,3.3055048483529,3.65223859150882,2.9651630673757396,5.97497344969294,5.458023137581149,6.7199508146326465,3.6204059243006035,4.140691141383821,2.329578002673286
153,North Country,2.234790248188008,3.5877616747181964,1.2297239102349393,4.731790789375791,4.258591228403265,5.333558683632325,6.167010917674831,6.625300240192154,4.882154882154882
154,Southern Tier,1.4640237240518184,1.6107605446695448,1.333922261484099,4.928597922848665,5.945243083146717,3.75957337231904,11.265833403237984,14.694212614584758,5.832610581092801
155,Western NY,1.7606803908868176,2.1747200766421173,1.3930242450021268,3.8070895019684747,4.476204998821687,3.0218484113943616,6.111813013265951,6.4583589617419115,5.490628445424476
